legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
f9fe10fc,QC26060159,"12308 , 12340","สีไม่ตรง STD./Color off Standard , เปื้อนตัวยา / Bulk stain",Minor,3
bc768a72,QC26060159,"12308 , 12312","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,2
60b198da,QC26060159,"12308 , 12310","สีไม่ตรง STD./Color off Standard , ฝุ่น/Dust",Minor,1
886fa666,QC26060160,12308,สีไม่ตรง STD./Color off Standard,Minor,452
168f3df9,QC26060160,"12308 , 12339","สีไม่ตรง STD./Color off Standard , ไม่เหมือน STD./ not same STD.",Minor,48
aa4e6427,QC26060161,12327,รอยขีด/Scratch mark,Minor,29
1831363b,QC26060161,12304,ถลอก/ Peeling,Minor,9
6a96e091,QC26060161,12341,เปื้อนสี / Color stain,Minor,1
bc39a04a,QC26060162,12308,สีไม่ตรง STD./Color off Standard,Minor,614
242b14d2,QC26060162,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,8
